ID,Time,Card,Loss/Profit,Total
1,2021-12-24 10:15:35,Player,,0
2,2021-12-24 10:15:41,Player,,0
3,2021-12-24 10:15:41,Player,,0
4,2021-12-24 10:15:44,Banker,,0
5,2021-12-24 10:15:44,Banker,,0
6,2021-12-24 10:15:45,Banker,-1,-1
7,2021-12-24 10:15:45,Banker,-2,-3
8,2021-12-24 10:15:48,Player,-4,-7
9,2021-12-24 10:17:02,Player,-2,-9
10,2021-12-24 10:19:10,Player,-4,-13
11,2021-12-24 10:19:48,Banker,2,-11
12,2021-12-24 10:20:02,Player,-1,-12
13,2021-12-24 10:20:04,Banker,-2,-14
14,2021-12-24 10:20:06,Banker,-5,-19
15,2021-12-24 10:20:07,Banker,10,-9
16,2021-12-24 10:20:08,Banker,-6,-15
17,2021-12-24 10:20:11,Player,-2,-17
18,2021-12-24 10:20:12,Player,-5,-22
19,2021-12-24 10:20:16,Banker,4,-18
20,2021-12-24 10:20:18,Player,,-18
21,2021-12-24 10:20:21,Player,8,-10
22,2021-12-24 10:20:22,Player,4,-6
23,2021-12-24 10:20:23,Player,-8,-14
24,2021-12-24 10:20:24,Player,11,-3
25,2021-12-24 10:20:26,Banker,-7,-10
26,2021-12-24 10:20:37,Banker,-10,-20
27,2021-12-24 10:20:40,Player,2,-18
28,2021-12-24 10:20:41,Player,-1,-19
29,2021-12-24 10:20:44,Banker,-2,-21
30,2021-12-24 10:20:45,Banker,-5,-26
31,2021-12-24 10:20:46,Banker,-6,-32
32,2021-12-24 10:20:49,Player,9,-23
33,2021-12-24 10:20:52,Banker,7,-16
34,2021-12-24 10:20:53,Banker,3,-13
35,2021-12-24 10:20:54,Banker,-10,-23
36,2021-12-24 10:20:55,Player,-12,-35
37,2021-12-24 10:21:01,Banker,-10,-45
38,2021-12-24 10:21:03,Banker,-13,-58
39,2021-12-24 10:21:05,Player,3,-55
40,2021-12-24 10:21:14,Player,1,-54
41,2021-12-24 10:21:18,Banker,-3,-57
42,2021-12-24 10:21:20,Player,6,-51
43,2021-12-24 10:21:22,Player,-15,-66
44,2021-12-24 10:21:24,Banker,18,-48
45,2021-12-24 10:21:25,Banker,-15,-63
46,2021-12-24 10:21:35,Player,-18,-81
47,2021-12-24 10:21:38,Player,-5,-86
48,2021-12-24 10:21:39,Player,8,-78
49,2021-12-24 10:21:42,Banker,-2,-80
50,2021-12-24 10:21:44,Banker,6,-74
51,2021-12-24 10:21:45,Banker,17,-57
52,2021-12-24 10:21:47,Banker,13,-44
53,2021-12-24 10:21:49,Player,15,-29
54,2021-12-24 10:21:50,Player,11,-18
55,2021-12-24 10:21:54,Banker,,-18
56,2021-12-24 10:21:56,Banker,-4,-22
57,2021-12-24 10:21:58,Player,-2,-24
58,2021-12-24 10:22:00,Banker,6,-18
